40;;;C;SII
40;;;C;SIII
40;;;C;SIV
40;;;C;SIV 
40;;;C;
40;;;D;A1
40;;;D;A3
40;;;D;B1
40;;;D;B3
40;;;E;F1
40;;;E;F2
40;;;E;F3
40;;;C ;SIII
40;;;C-D;
40;;;C;A1
40;;;B;
40;;;D;E2
40;;;D;F1
40;;;D;G1
40;;;C ;SII
40;;;D;E1
40;;;C;SI
40;;;D;C1
40;;;D;D2
40;;;D;G2
40;;;C ;SIV
40;;;D;A2
40;;;D;B2
40;;;E;E1
64;;;B;
40;;;;SII
40;;;B-C;
40;;;B;SII
40;;;B;SIV
40;;;C-E;
40;;;E;A2
40;;;E;A3
40;;;E;C2
40;;;E;E4
40;;;E;B1
40;;;E;D2
40;;;E;D1
40;;;E;D3
40;;;E;E2
40;;;E;E3
40;;;E;A1
40;;;E;C3
40;;;F;A2
40;;;F;Eingang
40;;;E;C1
40;;;F;C1
40;;;E;
40;;;B;SI
40;;;B;SII, SI
40;;;B, C;SI, SII, SIII
40;;;C, F;SII, A1, C1, C2, D1
40;;;F;E2
40;;;F;
64;;;A;SI
64;;;B;SI-O, SII-S
64;;;B;SII-S
64;;;B;SII-N
40;;;A;SI
40;;;D;G2, E2
40;;;D, C;B1, SI
64;;;J;SII-S
40;;;B-C;SII
40;;;B;SIII
40;;;E;B2, F3, C3, F1
40;;;B, E, E, E;SI, F3, E3, A1
40;;;C, D, F, F, F, F, F, F,;SIV, C2, B1, D1, E1, C1, A3, A2
40;;;C, C, E;SIII, SIV, C1
40;;;D, C, A, E, D, F, F, F, E, F, F, F, F, D;A1, SII, A, F3, B1, B1, D1, A1, B3, E1, C1, A3, E2, F2
40;;;C, D, E, F, F, C-F;A1, SII, D3, C1, A3, C-F
40;;;E, E, E, F;F2, F1, E3, B3
40;;;B, E, E, E, E, E;SI, F2, F3, F1, E3, D3
40;;;E;E2, E3, E1, D2, B3
40;40;;F;/, A3, A2, C1
40;;;C, D, E, E, E, E, E, E, E, E, E;SI, C1, F2, B2, B1, F1, E1, D2, A3, D3
40;40;;E, E, F, E, E, E, C-E, E, E, E;F2, B2, B1, C3, B1, F1, C-E, C2, A2, D3, /
40;40;;C, C, C, C, C, D, /;SIII, SI, SI, SIV, SII, A1, /
40;;;C, C, C, C, D;SIII, SIV, SII, SII, A3
40;;;C, C, D;SIII, SIV, B1
40;;;C, C, D, C;SIII, SII, A1, SII
40;;;C, C, C-F;SII, SII, C-F
40;;;C, C, D, E;SIII, SIV, A1, B2
40;;;E;B1, F1, E3, E1, C2
40;;;E;F2, F3, E3
40;;;E;C3, F1, D2, D1
40;40;;C, C, C, D, C, /, D, F, F;SIII, SI, SIV, A1, /, SII, B2, A3, A2
40;;;C, C, C, E, E;SIII, SII, SII, B2, A2
40;;;C;SIII, SIV, SII
40;;;C, C, C, C, E, E, E, E, E, E, D;SIII, SIV, SII, SII, B2, E3, E1, D2, A1, A3, G2
40;;;C, C, D, C;SIII, SIV, A1, SII
40;;;C, C, C, D, C, E;SIII, SI, SIV, A1, SII, A2
40;;;C, C, D, C-E;SIII, SIV, A1, C-E
40;;;C, C, C, B, D, D, E, E;SIII, SII, SII, SII, B1, B1, A2, D3
40, 64;;;C, C, D, C, D, E, C-F, B;SIII, SIV, A1, SII, B1, E3, C-F, SII-N
40, 64;;;C, C, B, B, B;SIII, SIV, SII-N, SII-N, SI-W
40;;;C, C, E, E, E, E, E, E, E;SIII, SIV, C3, F1, E1, D2, C2, A1, D1
40;;;C, C;SIII, SIV
40;;;C, C, C, D, C, D, F, D;SIII, SIV, SII, A1, SII, B2, A2, E2
40;;;C, C, C, D, C;SI, SI, SIV, A1, SI
40;40;;C, C, C, D, C, /, D;SIII, SIV, SII, A1, SII, /, B2
40;;;C;SIV, SII
40;;;C;SI, SI, SI, SII
40;;;C, C, C, D, C, B, D;SI, SIV, SII, A1, SII, SII, B1
40;;;C, C, D, C, D, D, F;SIII, SIV, A1, SII, B2, C1, D1
40;;;C;SIII, SI, SIV
40;;;C, C, C, D, C;SIII, SIV, SII, A1, SII
40;;;C, C, C, D, C, D, D, E;SIII, SI, SIV, A1, SII, B2, B1, B1
40;;;C, C, D, C, D;SIV, SII, A1, SII, B1
40;;;C, C, E, E, E, E;SI, SIV, F3, B1, D2, A2
40;;;C, C, C, C, D;SIII, SI, SIV, SII, B2
40;;;C, C, C;SIII, SIV, SII
40;;;C, C, D, C, B, D, C-E, E;SIII, SI, A1, SII, SII, B1, C-E, A1
40;;;C, C, C, F;SIII, SIV, SII, A2
40;;;C, C, C, E;SIII, SIV, SII, D3
40;;;C, C, C, D, C, E, F;SI, SIV, SII, A1, SII, D1, A2
40;;;C, C, C, D, C, D, D, D, F;SIII, SIV, SII, A1, SII, B2, B1, B1, C2
40;;;C, C, C, B;SIII, SIV, SII, SII
40;;;C, D, C, E, E, E, D, F;SIV, A1, SII, B2, B1, A3, F1, B3
40;;;C, C, D;SIII, SIV, A3
40;;;C, D, C-F;SII, B1, C-F
